message,label
手机号注册的,25
3小时了,2
天呐.游戏游戏打不开.网页也打不开,19
充值未到账,1
那个聊天软件下载了 没人回,15
你们这太坑了吧我玩你们五六年了，就俩个多月没玩,1
账号问题,4
转人工,25
转人工,25
我都试了，6个网络啦,19
收到短信,18
首次存款赠送的彩金找你申请吗,18
昨晚的聊天记录没有了,1
刚在收快递,4
账号13824044981,4
账号,4
这是免费送的吗,4
都半小时了,1
15550833631,4
好的，请问还要等多久,21
账户有钱，为什么进游戏是试玩,24
付艳军,4
这个吗,17
但没有到账哦,1
能多介绍两个人,16
15123903620,4
lm0188,4
我其他存款方式一直存不了 ，都一个小时了,1
188在哪里,18
领取短信特邀彩金,9
广东农信,4
我看存款那个存款方式都取消了,1
18589904818,4
24小时内,2
转人工,25
在不在亲,4
冲鸭，秒题! 188菜金券 已到 优乐王之：ule93点vip,18
转人工,25
没到账,1
游戏充值不到账,1
TJufr67q8Pus9WwZNcA3WEXuh6hFQCFy35,4
wk188453,4
申请新人奖励,18
专属客服没同意,25
yb443288,4
他不回复怎么办,4
qy163971,4
哦哦哦,4
查询好了没有,21
存款为什么30-50无法存,1
核查没有,4
这个,17
"姐姐六个小时了
",21
充值没到账,1
这个上面,17
在也不玩了一个字坑,9
账号怎么禁用了,4
注册姓名我也填了得嘛,22
救援金活动规则、流水倍数、发放时间,8
我的钱都扣给你们了,1
沙巴基本网球都没有投注项目,10
换了谷歌也不行,25
什么优惠都没有,18
这不显示？,1
App打不开,19
忘记账号,4
qq641191,4
快捷支付未到账,1
想射精咋办,4
谷歌也进不去,19
2725738332@qq.com,4
你查嘛,4
18元,18
注册好了，你们会不会一天到晚打电话过来？？？卖信息瀑电话？？,25
直接注册的有,7
苹果,15
我没有充钱,1
一个2000 一个500 到现在都不到？,1
我这个订单是什么问题,1
收到信息说送88,18
你们是怎么给我转的钱,1
彭田民,4
b3072793,4
充值未到账,1
200能充吗,1
刚才有一笔500的转账，从ag真人转到dg真人，好像丢了，查不到了,5
这个啥意思,18
gl9808,4
其他存款方式未到账,1
什么情况，我朋友介绍来的才玩第一次就这样吗，还好充的少赢三百就提不出吗？,16
转人工,25
卧槽啊,4
我要充值,1
500的,18
麻烦催促一下吧,1
哦&nbsp;,4
这个,17
没到账,1
提款现在怎么那么慢啊,2
发邮箱吧,18
那个月饼名额满了 没有了 ,18
upay,4
upay下载地址,15
我都无语,4
我学100遍我也,18
转人工,25
这个是6局免费次数，可是没进去啊,18
alex7749,4
之前体现都是几分钟,2
你好我账号b264649刚刚一笔出款怎么半天不到账啊，什么情况,2
更换手机号怎么更换,22
kek1986,4
下分不到帐,1
提现的,2
我账号,4
什么优惠？,18
需要多少呢,2
我账号没有,4
收到,18
支付宝，不安全,1
我收到一个短信,18
13329253665,4
刚刚我点错了，评论到最后一个了,1
我试试,4
Pay钱包地址在哪里？,17
yb437731,4
怎么回事,1
账号被冻结了   账号jnp890211  姓名敬严鹏 手机号13990737998,4
lg还是登录不了,17
sun252627,4
新人专享福利《三重礼》,18
数字钱包是什么意思？,1
我也忘了，今天看消息才知道还有这个奖励,18
需要多久,21
我的，七天退款怎么申请不了,2
有红包或者存送卷领吗,9
但我流水早够了啊,10
你说咋整,4
存100送88,18
人工客服,25
都二十几分钟过去了还他没来,1
新人领18的网址再给我一下，之前搞丢了,17
说马上到账,1
客服，我真人视频投注，为什么不显示投注记录呢，我等着流水晋级呢,14
转人工,25
那就是没得送啊免费的  ,18
我是app登陆,17
微信扫码支付,1
短信说领88,18
我下了pt客户端 账号怎么登入 手机号吗,17
我有会员,14
转人工,25
转人工,25
充值问题,1
中奖1800以上给58？,18
辣鸡平台 别给我发消息了  来2次  输2次,19
转人工,25
别的都能玩，就有的打不开,19
提现审核要多久,2
***的什么窝囊废客服啊？,25
你们客服打电话来叫我来的啊,25
假的话干嘛注册,7
电脑登录一样ag进不了,17
关闭,4
说的首存100送100呢,12
转人工,25
你好，我想找专属客服,25
打了一晚上输安逸了,4
刚刚存了一个300元,1
&nbsp; &nbsp; q1077000,4
一下午空免费,18
那得等多久呢,21
uf809635,4
好了没有,21
我的冻结了,4
要黑我钱？,1
转人工,25
转人工,25
奖不爆,4
我的提款怎么还没到账,2
在不在？能不能说句话,4
存款人姓名 王恒,22
那我都有会员账号了,4
谢谢15535298555,4
18700883630,4
我说的是388优惠券打到多少可以取出来,2
转人工,25
游戏问题,19
转人工,25
账号解冻qsa123456,4
优惠转人工,18
2006xyl,4
我记不得游戏账号了,4
人工服务,25
这是什么,4
存款509没有收到,1
登录客户端怎么提示帐号被锁住了,4
体现需要多久啊nbsp;,2
存款没到账,1
13025803361,4
啥情况，回复一下,4
转人工,25
怎么还没到,1
1105602977@qq.com,4
wcnmdb,4
麻烦你帮我联系一下我的专属客服,25
我的感觉好像差不多,1
转人工,25
提现没到,2
收到你们信息来的,18
徐双,4
好尴尬啊，都十几分钟还不到账嘛,1
转人工,25
7哥已经给解封了,4
正常,2
9月份专属存送,18
充值未到账,1
尽快处理 ,21
转人工,25
转人工,25
tq581438谢仕伟,4
短信邀请彩金,18
我领取那个存款那个 28元，它显示的这个是什么意思呀 ,18
平台进不去,19
